,TYPE,MainBranch,Country,ConvertedCompYearly,Employment
7354,Manager,I am a developer by profession,Germany,115175.0,"Employed, full-time"
7355,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",Canada,175689.0,"Employed, full-time"
7358,Developer BE,I am a developer by profession,Italy,524688.0,"Employed, full-time"
7365,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,59050.0,"Employed, full-time"
7367,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,41461.0,"Employed, full-time"
7368,Developer FS,I am a developer by profession,Russian Federation,41556.0,"Employed, full-time"
7370,Developer FS,I am a developer by profession,Jordan,7620.0,"Employed, full-time"
7371,Developer FS,I am a developer by profession,France,63986.0,"Employed, full-time"
7372,Developer FE,"I am not primarily a developer, but I write code sometimes as part of my work",Germany,14712.0,"Employed, full-time"
7374,Researching,I am a developer by profession,Taiwan,37181.0,"Employed, full-time"
7375,Manager,I am a developer by profession,Republic of Moldova,29436.0,"Employed, full-time"
7379,Developer FS,I am a developer by profession,Czech Republic,19224.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7381,Testing/Apps/mobile,I am a developer by profession,Germany,69318.0,"Employed, full-time"
7384,Testing/Apps/mobile,I am a developer by profession,Portugal,19409.0,"Employed, full-time"
7385,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,587988.0,"Employed, full-time"
7387,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,72871.0,"Employed, full-time"
7392,Developer FE,I am a developer by profession,Poland,58272.0,"Employed, full-time"
7394,Developer BE,I am a developer by profession,Germany,90647.0,"Employed, full-time"
7395,Data,I am a developer by profession,Serbia,10896.0,"Employed, full-time"
7396,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",Netherlands,34548.0,"Employed, full-time"
7397,Developer FS,I am a developer by profession,Mongolia,19356.0,"Employed, full-time"
7398,Testing/Apps/mobile,I am a developer by profession,Netherlands,44796.0,"Employed, full-time"
7399,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,557844.0,"Employed, full-time"
7401,Developer FS,I am a developer by profession,India,21925.0,"Employed, full-time"
7403,Data,I am a developer by profession,Israel,50220.0,"Employed, full-time"
7404,Developer FE,I am a developer by profession,Egypt,2604.0,"Employed, full-time"
7406,Game Dev,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,565380.0,"Employed, full-time"
7408,Game Dev,I am a developer by profession,Japan,54893.0,"Employed, full-time"
7410,Developer FS,I am a developer by profession,Pakistan,5088.0,"Employed, full-time"
7412,Data,I am a developer by profession,Germany,255948.0,"Independent contractor, freelancer, or self-employed"
7414,Developer FS,I am a developer by profession,Egypt,10440.0,"Employed, full-time"
7415,Developer FS,I am a developer by profession,Germany,255945.0,"Independent contractor, freelancer, or self-employed"
7416,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,188459.0,"Employed, full-time"
7420,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,75384.0,"Employed, full-time"
7422,Data,I am a developer by profession,Italy,37325.0,"Employed, full-time"
7424,Developer FS,I am a developer by profession,France,53322.0,"Employed, full-time"
7427,Developer FS,I am a developer by profession,Germany,46068.0,"Employed, full-time"
7429,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,65332.0,"Employed, full-time"
7430,Developer FS,I am a developer by profession,Ukraine,40608.0,"Employed, full-time"
7431,Developer FS,I am a developer by profession,Sri Lanka,23328.0,"Employed, full-time"
7433,Data,"I am not primarily a developer, but I write code sometimes as part of my work",France,52255.0,"Employed, full-time"
7434,Developer BE,I am a developer by profession,Germany,85315.0,"Employed, full-time"
7435,Developer FS,I am a developer by profession,Denmark,103248.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7436,Developer BE,I am a developer by profession,Netherlands,44796.0,"Employed, full-time"
7439,Developer FS,I am a developer by profession,Russian Federation,29088.0,"Employed, full-time"
7441,Developer BE,I am a developer by profession,Russian Federation,38028.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7442,Developer FE,I am a developer by profession,India,88000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7443,Testing/Apps/mobile,I am a developer by profession,India,15480.0,"Employed, full-time"
7444,Manager,I am a developer by profession,Germany,101312.0,"Employed, full-time"
7446,Developer FS,I am a developer by profession,Ireland,107710.0,"Employed, full-time"
7447,Developer BE,I am a developer by profession,Germany,59720.0,"Employed, full-time"
7448,Developer BE,"I am not primarily a developer, but I write code sometimes as part of my work",Russian Federation,27012.0,"Employed, full-time"
7449,Developer FE,I am a developer by profession,Norway,1866696.0,"Employed, full-time"
7450,Manager,I am a developer by profession,France,181294.0,"Independent contractor, freelancer, or self-employed"
7454,Developer FS,I am a developer by profession,"Iran, Islamic Republic of...",11352.0,"Independent contractor, freelancer, or self-employed"
7456,Developer FS,I am a developer by profession,Germany,74651.0,"Employed, full-time"
7458,Manager,I am a developer by profession,Austria,106644.0,"Employed, full-time"
7463,Data,I am a developer by profession,Finland,95976.0,"Employed, full-time"
7469,Manager,I am a developer by profession,Georgia,36000.0,"Independent contractor, freelancer, or self-employed"
7470,Developer BE,I am a developer by profession,Germany,45857.0,"Employed, full-time"
7471,Manager,I am a developer by profession,Poland,43296.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7472,Data,I am a developer by profession,Netherlands,46356.0,"Employed, part-time"
7474,Developer FS,I am a developer by profession,Czech Republic,25980.0,"Employed, full-time"
7475,Testing/Apps/mobile,I am a developer by profession,Indonesia,27307.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7476,Developer FS,I am a developer by profession,Botswana,5976.0,"Independent contractor, freelancer, or self-employed;Employed, part-time"
7477,Developer FE,I am a developer by profession,New Zealand,64333.0,"Employed, full-time"
7479,Developer FS,I am a developer by profession,Germany,74651.0,"Employed, full-time"
7480,Developer FS,I am a developer by profession,Italy,27900.0,"Employed, full-time"
7484,Developer FE,I am a developer by profession,India,83832.0,"Employed, full-time"
7485,Developer BE,I am a developer by profession,Australia,77848.0,"Employed, full-time"
7493,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Spain,1049376.0,"Employed, full-time"
7494,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Germany,85315.0,"Employed, full-time"
7495,Developer FS,I am a developer by profession,Pakistan,5088.0,"Employed, full-time"
7496,Developer FS,I am a developer by profession,Portugal,106644.0,"Employed, full-time"
7499,Developer FS,I am a developer by profession,Italy,45821.0,"Employed, full-time"
7500,Developer BE,I am a developer by profession,India,4644.0,"Employed, full-time"
7503,Developer FS,I am a developer by profession,France,27648.0,"Employed, full-time"
7504,Data,I am a developer by profession,Poland,27756.0,"Employed, full-time"
7505,Developer FS,I am a developer by profession,United States of America,96000.0,"Independent contractor, freelancer, or self-employed"
7511,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,69102.0,"Employed, full-time"
7512,Testing/Apps/mobile,I am a developer by profession,Norway,81409.0,"Employed, full-time"
7519,Educator,I am a developer by profession,Italy,575880.0,"Employed, full-time"
7520,Developer BE,I am a developer by profession,Norway,93335.0,"Employed, full-time"
7521,Developer FS,I am a developer by profession,Denmark,129048.0,"Employed, full-time"
7524,Developer BE,I am a developer by profession,Germany,88514.0,"Employed, full-time"
7526,Developer FS,I am a developer by profession,Malaysia,22105.0,"Employed, full-time"
7528,Testing/Apps/mobile,"I am not primarily a developer, but I write code sometimes as part of my work",Germany,79983.0,"Employed, full-time"
7530,Data,I am a developer by profession,Germany,59720.0,"Employed, full-time"
7532,Developer FE,I am a developer by profession,France,62920.0,"Employed, full-time"
7536,Developer BE,I am a developer by profession,Portugal,53322.0,"Employed, full-time"
7537,Manager,I am a developer by profession,Poland,74928.0,"Employed, full-time"
7539,Testing/Apps/mobile,I am a developer by profession,Russian Federation,62400.0,"Employed, full-time"
7541,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Switzerland,118932.0,"Employed, full-time"
7546,Testing/Apps/mobile,I am a developer by profession,Portugal,16632.0,"Employed, full-time"
7548,Developer FS,I am a developer by profession,India,2784.0,"Employed, full-time"
7550,Manager,I am a developer by profession,Italy,39672.0,"Employed, full-time"
7551,Developer FS,I am a developer by profession,Germany,76788.0,"Employed, full-time"
7553,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",India,33533.0,"Employed, full-time"
7554,Data,I am a developer by profession,Poland,14450.0,"Employed, full-time"
7556,Developer FS,I am a developer by profession,Spain,44790.0,"Employed, full-time"
7557,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,125639.0,"Employed, full-time"
7558,Game Dev,I am a developer by profession,Belarus,54000.0,"Employed, full-time"
7561,Developer BE,I am a developer by profession,Austria,43512.0,"Employed, full-time"
7563,Manager,I am a developer by profession,Greece,76783.0,"Independent contractor, freelancer, or self-employed"
7564,Manager,I am a developer by profession,Greece,47990.0,"Employed, full-time"
7565,Developer FS,I am a developer by profession,Australia,72000.0,"Independent contractor, freelancer, or self-employed"
7567,Developer BE,I am a developer by profession,India,36693.0,"Employed, full-time"
7568,Manager,I am a developer by profession,Albania,5340.0,"Employed, full-time"
7569,Developer FS,I am a developer by profession,Germany,40951.0,"Employed, part-time"
7571,Data,I am a developer by profession,Austria,52255.0,"Employed, full-time"
7572,Data,I am a developer by profession,Romania,77652.0,"Employed, full-time"
7576,Testing/Apps/mobile,I am a developer by profession,Spain,26661.0,"Employed, full-time"
7577,Developer FS,I am a developer by profession,United States of America,4250000.0,"Employed, full-time"
7580,Testing/Apps/mobile,I am a developer by profession,Spain,58654.0,"Employed, full-time"
7581,Developer FS,I am a developer by profession,India,4385.0,"Employed, part-time"
7582,Developer BE,I am a developer by profession,Denmark,77432.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7583,Developer BE,I am a developer by profession,Ireland,63986.0,"Employed, full-time"
7584,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,57794.0,"Employed, part-time"
7585,Manager,I am a developer by profession,Germany,51192.0,"Employed, full-time"
7592,Data,I am a developer by profession,Bangladesh,6816.0,"Employed, full-time;Employed, part-time"
7593,Developer FS,I am a developer by profession,Belgium,42228.0,"Employed, full-time"
7594,Developer FS,I am a developer by profession,France,57588.0,"Independent contractor, freelancer, or self-employed"
7595,Developer FS,I am a developer by profession,Germany,908604.0,"Employed, full-time"
7596,Developer FS,I am a developer by profession,Portugal,41591.0,"Employed, full-time"
7597,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,40205.0,"Employed, full-time"
7598,DevOps,I am a developer by profession,Netherlands,95979.0,"Employed, full-time"
7599,Manager,I am a developer by profession,South Africa,41724.0,"Employed, full-time"
7600,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,708600.0,"Employed, full-time"
7601,Developer BE,I am a developer by profession,Kenya,4116.0,"Independent contractor, freelancer, or self-employed;Employed, part-time"
7602,Developer BE,I am a developer by profession,Italy,22395.0,"Employed, full-time"
7603,Developer FS,I am a developer by profession,France,26688.0,"Employed, full-time"
7604,Admin,I am a developer by profession,Pakistan,22140.0,"Employed, full-time"
7606,Developer FS,I am a developer by profession,Germany,63986.0,"Employed, full-time"
7611,Manager,I am a developer by profession,France,31992.0,"Independent contractor, freelancer, or self-employed"
7613,Data,I am a developer by profession,France,78916.0,"Independent contractor, freelancer, or self-employed"
7614,Developer FS,I am a developer by profession,Portugal,18552.0,"Employed, full-time"
7618,Developer FS,I am a developer by profession,Tunisia,18600.0,"Employed, full-time"
7619,Other (please specify):,I am a developer by profession,France,31992.0,"Employed, full-time"
7622,Developer BE,I am a developer by profession,Israel,80712.0,"Employed, part-time"
7626,Developer BE,I am a developer by profession,Serbia,81732.0,"Independent contractor, freelancer, or self-employed"
7627,Developer BE,I am a developer by profession,Romania,73300.0,"Independent contractor, freelancer, or self-employed"
7631,Data,I am a developer by profession,Germany,72518.0,"Employed, full-time"
7635,Developer FS,I am a developer by profession,Spain,74651.0,"Employed, full-time"
7636,Developer FE,I am a developer by profession,Indonesia,4056.0,"Employed, full-time"
7641,Testing/Apps/mobile,I am a developer by profession,Italy,53322.0,"Employed, full-time"
7644,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,129409.0,"Employed, full-time"
7651,Developer BE,I am a developer by profession,Latvia,51192.0,"Employed, full-time"
7652,Testing/Apps/mobile,I am a developer by profession,Portugal,29436.0,"Employed, full-time"
7653,Developer BE,I am a developer by profession,Ukraine,10150.0,"Employed, full-time"
7654,Developer FS,I am a developer by profession,Netherlands,1471680.0,"Independent contractor, freelancer, or self-employed"
7655,Developer FS,I am a developer by profession,Portugal,15997.0,"Employed, full-time"
7657,Developer BE,I am a developer by profession,Germany,12924.0,"Employed, full-time"
7659,Developer FS,I am a developer by profession,Switzerland,83892.0,"Employed, full-time"
7661,Data,I am a developer by profession,India,9802.0,"Employed, full-time"
7666,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,512604.0,"Employed, full-time"
7668,Developer BE,I am a developer by profession,Poland,44400.0,"Employed, full-time"
7669,Developer BE,"I am not primarily a developer, but I write code sometimes as part of my work",Netherlands,127972.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7672,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Czech Republic,77952.0,"Independent contractor, freelancer, or self-employed"
7673,Developer BE,I am a developer by profession,Poland,97128.0,"Employed, full-time"
7675,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,94230.0,"Employed, full-time"
7677,Testing/Apps/mobile,I am a developer by profession,France,36259.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7680,Testing/Apps/mobile,"I am not primarily a developer, but I write code sometimes as part of my work",India,19350.0,"Employed, full-time"
7681,Educator,I am a developer by profession,Spain,53322.0,"Employed, full-time"
7682,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,50256.0,"Employed, full-time"
7684,Educator,I am a developer by profession,Germany,117308.0,"Employed, full-time"
7685,Testing/Apps/mobile,I am a developer by profession,Slovenia,42492.0,"Employed, full-time"
7687,Developer FS,I am a developer by profession,Italy,41591.0,"Employed, full-time"
7690,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,125639.0,"Employed, full-time"
7694,Educator,I am a developer by profession,Italy,31993.0,"Employed, full-time"
7696,Educator,I am a developer by profession,Netherlands,79983.0,"Employed, full-time"
7697,Developer FS,I am a developer by profession,Finland,58872.0,"Employed, full-time"
7698,Researching,"I am not primarily a developer, but I write code sometimes as part of my work",Bulgaria,3276.0,"Employed, full-time"
7703,Developer BE,I am a developer by profession,Netherlands,65268.0,"Employed, full-time"
7705,Testing/Apps/mobile,I am a developer by profession,India,8357.0,"Employed, full-time"
7706,Testing/Apps/mobile,I am a developer by profession,India,14058.0,"Employed, full-time"
7708,Developer FS,I am a developer by profession,Poland,27756.0,"Independent contractor, freelancer, or self-employed"
7711,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,527688.0,"Employed, full-time"
7713,Developer BE,I am a developer by profession,Poland,25812.0,"Employed, full-time"
7717,Testing/Apps/mobile,I am a developer by profession,United States of America,180000.0,"Employed, full-time"
7718,Developer FS,I am a developer by profession,Hungary,42650.0,"Independent contractor, freelancer, or self-employed"
7719,Developer FS,I am a developer by profession,France,58654.0,"Employed, full-time"
7721,Manager,I am a developer by profession,Turkey,5256.0,"Employed, full-time"
7722,Developer FS,I am a developer by profession,Germany,780636.0,"Employed, full-time"
7725,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,81666.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7726,Developer FS,I am a developer by profession,Netherlands,36046.0,"Employed, full-time"
7727,Developer BE,I am a developer by profession,Finland,49908.0,"Employed, full-time"
7728,Manager,I am a developer by profession,Slovakia,44796.0,"Employed, full-time"
7729,Developer FS,I am a developer by profession,Germany,66120.0,"Employed, full-time"
7733,Developer FS,I am a developer by profession,Lithuania,57588.0,"Employed, full-time"
7735,Developer FE,I am a developer by profession,Russian Federation,56112.0,"Employed, full-time"
7736,Data,I am a developer by profession,Germany,255945.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7738,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,37692.0,"Employed, full-time"
7739,Developer FE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,829224.0,"Employed, full-time"
7742,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,37692.0,"Employed, full-time"
7744,Developer BE,I am a developer by profession,France,133300.0,"Independent contractor, freelancer, or self-employed"
7748,Developer FS,I am a developer by profession,Norway,59112.0,"Employed, full-time"
7749,Developer FS,I am a developer by profession,The former Yugoslav Republic of Macedonia,41580.0,"Employed, full-time"
7750,Manager,I am a developer by profession,Austria,51189.0,"Independent contractor, freelancer, or self-employed"
7751,Manager,I am a developer by profession,Myanmar,13608.0,"Employed, full-time"
7752,Data,I am a developer by profession,Netherlands,63288.0,"Employed, full-time"
7753,Developer FS,I am a developer by profession,Turkey,4512.0,"Employed, full-time"
7754,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,497532.0,"Employed, full-time"
7755,Developer FS,I am a developer by profession,Sri Lanka,5004.0,"Employed, full-time"
7758,Developer FS,I am a developer by profession,Italy,31993.0,"Employed, full-time"
7759,Developer FS,I am a developer by profession,Belgium,38388.0,"Employed, full-time"
7760,Developer FS,I am a developer by profession,India,96729.0,"Employed, full-time"
7761,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,47743.0,"Employed, full-time"
7762,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,150767.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7764,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,57794.0,"Employed, full-time"
7765,Manager,I am a developer by profession,Kenya,25752.0,"Employed, full-time"
7767,Testing/Apps/mobile,I am a developer by profession,Poland,44400.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7770,Data,I am a developer by profession,Israel,179352.0,"Employed, full-time"
7772,Educator,"I am not primarily a developer, but I write code sometimes as part of my work",France,31993.0,"Employed, full-time"
7777,Developer FS,I am a developer by profession,Austria,170630.0,"Independent contractor, freelancer, or self-employed"
7779,Developer FS,I am a developer by profession,Germany,141836.0,"Employed, full-time"
7783,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,1055376.0,"Employed, full-time"
7784,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,56538.0,"Employed, full-time"
7785,Developer FS,I am a developer by profession,India,9028.0,"Employed, full-time"
7787,Testing/Apps/mobile,I am a developer by profession,Turkey,15032.0,"Employed, full-time"
7791,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,131921.0,"Employed, full-time"
7793,Developer FS,I am a developer by profession,Norway,82964.0,"Employed, full-time"
7795,Manager,I am a developer by profession,Bangladesh,20460.0,"Independent contractor, freelancer, or self-employed"
7797,Data,I am a developer by profession,Switzerland,108590.0,"Employed, full-time"
7798,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,52769.0,"Employed, full-time"
7799,Developer FS,I am a developer by profession,Germany,127972.0,"Employed, full-time"
7803,Developer FE,I am a developer by profession,India,41271.0,"Employed, full-time"
7804,Developer FS,I am a developer by profession,Italy,90647.0,"Employed, full-time"
7805,Developer FE,I am a developer by profession,Netherlands,38392.0,"Employed, full-time"
7806,Data,I am a developer by profession,Spain,60787.0,"Employed, full-time"
7812,Developer FS,I am a developer by profession,Bangladesh,5460.0,"Employed, full-time"
7814,Data,I am a developer by profession,Netherlands,31992.0,"Employed, full-time"
7816,Data,I am a developer by profession,Spain,85315.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7818,Developer FS,I am a developer by profession,Austria,84249.0,"Employed, full-time"
7820,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,527688.0,"Employed, full-time"
7821,Data,I am a developer by profession,Ukraine,60924.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7822,Developer FS,I am a developer by profession,Germany,46068.0,"Employed, full-time"
7824,Developer FE,I am a developer by profession,Hungary,31800.0,"Employed, full-time"
7825,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,83927.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7828,Developer FS,I am a developer by profession,Nepal,3096.0,"Employed, full-time"
7829,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,54025.0,"Employed, full-time"
7830,Developer FS,I am a developer by profession,France,38388.0,"Employed, full-time"
7831,Testing/Apps/mobile,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,69102.0,"Employed, full-time"
7832,Developer FS,I am a developer by profession,Ireland,93846.0,"Employed, full-time"
7833,Developer FS,I am a developer by profession,Pakistan,19200.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7834,Testing/Apps/mobile,I am a developer by profession,Brazil,37392.0,"Employed, full-time"
7835,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,100511.0,"Employed, full-time"
7836,Developer FS,I am a developer by profession,South Korea,39577.0,"Employed, full-time"
7838,Developer BE,I am a developer by profession,Spain,16850.0,"Employed, full-time"
7839,Developer FE,I am a developer by profession,India,29019.0,"Employed, full-time"
7840,Developer FE,I am a developer by profession,Poland,28440.0,"Employed, full-time"
7844,Testing/Apps/mobile,I am a developer by profession,India,23215.0,"Employed, full-time"
7845,Data,I am a developer by profession,Germany,85315.0,"Employed, full-time"
7846,Developer BE,I am a developer by profession,Germany,133305.0,"Employed, full-time"
7847,Researching,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,59000.0,"Employed, full-time"
7850,Developer FS,I am a developer by profession,Pakistan,17952.0,"Employed, full-time"
7851,Developer FS,I am a developer by profession,India,29664.0,"Employed, full-time"
7852,Developer BE,I am a developer by profession,United States of America,1527672.0,"Employed, full-time"
7854,Developer FS,I am a developer by profession,United States of America,112000.0,"Employed, full-time"
7855,Manager,I am a developer by profession,Madagascar,11880.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7856,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,1130760.0,"Independent contractor, freelancer, or self-employed"
7857,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Australia,141542.0,"Independent contractor, freelancer, or self-employed"
7859,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,194741.0,"Employed, full-time"
7860,Testing/Apps/mobile,I am a developer by profession,Japan,39210.0,"Employed, full-time"
7861,Testing/Apps/mobile,I am a developer by profession,Nepal,4836.0,"Employed, full-time"
7862,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,72000.0,"Employed, full-time"
7863,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Germany,37620.0,"Employed, full-time"
7866,Data,"I am not primarily a developer, but I write code sometimes as part of my work",Finland,31992.0,"Employed, full-time"
7867,Developer FS,I am a developer by profession,South Africa,89771.0,"Employed, full-time"
7868,Security/Cloud,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,213587.0,"Employed, full-time"
7869,Developer FS,I am a developer by profession,Israel,32280.0,"Employed, part-time"
7873,Developer BE,I am a developer by profession,France,50123.0,"Employed, full-time"
7874,Developer FS,I am a developer by profession,Greece,25596.0,"Employed, full-time"
7876,Developer FE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,37692.0,"Employed, full-time"
7880,Developer FS,I am a developer by profession,Kazakhstan,4632.0,"Employed, full-time"
7883,Developer FS,I am a developer by profession,France,67186.0,"Employed, full-time"
7885,Developer BE,I am a developer by profession,Greece,8700.0,"Employed, full-time"
7887,Manager,I am a developer by profession,United States of America,850000.0,"Employed, full-time"
7888,Developer FS,I am a developer by profession,Germany,93846.0,"Employed, full-time"
7891,Developer FE,I am a developer by profession,Ukraine,2028.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7893,Manager,I am a developer by profession,Germany,69318.0,"Employed, full-time"
7895,Developer FS,I am a developer by profession,Netherlands,38388.0,"Employed, full-time"
7896,Developer FS,I am a developer by profession,Netherlands,57588.0,"Employed, full-time"
7899,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,829224.0,"Employed, full-time"
7900,Developer FS,I am a developer by profession,Croatia,63986.0,"Employed, full-time"
7902,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,94230.0,"Employed, full-time"
7904,Developer FS,I am a developer by profession,Sri Lanka,5832.0,"Employed, full-time"
7906,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,175895.0,"Employed, full-time"
7907,Developer FS,I am a developer by profession,Germany,70385.0,"Employed, full-time"
7910,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,94230.0,"Employed, full-time"
7911,Developer BE,I am a developer by profession,Brazil,44868.0,"Employed, full-time"
7912,Developer BE,I am a developer by profession,Czech Republic,90936.0,"Employed, full-time"
7914,Developer FS,I am a developer by profession,Portugal,70918.0,"Employed, full-time"
7915,Testing/Apps/mobile,I am a developer by profession,United States of America,210000.0,"Employed, full-time"
7916,Game Dev,I am a developer by profession,Russian Federation,24516.0,"Employed, full-time"
7917,Developer FE,I am a developer by profession,Georgia,14976.0,"Employed, full-time"
7920,Developer BE,I am a developer by profession,Turkmenistan,54388.0,"Employed, full-time"
7922,Manager,I am a developer by profession,Italy,358320.0,"Employed, full-time"
7923,Developer FS,I am a developer by profession,Netherlands,61853.0,"Employed, full-time"
7925,Developer FS,I am a developer by profession,Belgium,25596.0,"Employed, full-time"
7929,Developer BE,I am a developer by profession,Mexico,84300.0,"Employed, full-time"
7931,Developer FS,I am a developer by profession,Ireland,76783.0,"Employed, full-time"
7933,Security/Cloud,I am a developer by profession,Hungary,30132.0,"Employed, full-time"
7936,Developer FE,I am a developer by profession,Poland,43008.0,"Employed, full-time"
7938,Developer FS,I am a developer by profession,Israel,134520.0,"Employed, full-time"
7940,Educator,I am a developer by profession,Sweden,154164.0,"Employed, full-time"
7942,DevOps,I am a developer by profession,Spain,639864.0,"Employed, full-time"
7948,Manager,I am a developer by profession,France,61853.0,"Employed, full-time"
7952,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,376920.0,"Employed, full-time"
7953,Developer FE,I am a developer by profession,Ukraine,84000.0,"Employed, full-time"
7954,Researching,I am a developer by profession,Australia,59448.0,"Employed, full-time"
7955,Manager,I am a developer by profession,Germany,113042.0,"Employed, part-time"
7957,Manager,I am a developer by profession,Norway,1244460.0,"Employed, full-time"
7958,Developer FS,I am a developer by profession,Turkey,11280.0,"Employed, full-time"
7959,Data,I am a developer by profession,Brazil,9228.0,"Employed, full-time"
7960,Developer FS,I am a developer by profession,India,1860.0,"Employed, full-time"
7964,Developer BE,I am a developer by profession,Germany,79983.0,"Employed, full-time"
7965,Testing/Apps/mobile,"I am not primarily a developer, but I write code sometimes as part of my work",Brazil,58165.0,"Employed, full-time"
7967,Developer BE,I am a developer by profession,Russian Federation,41556.0,"Employed, full-time"
7968,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",Pakistan,13764.0,"Employed, full-time;Employed, part-time"
7969,Developer FS,I am a developer by profession,Bosnia and Herzegovina,19644.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
7971,Data,I am a developer by profession,Japan,58814.0,"Employed, full-time"
7972,Testing/Apps/mobile,I am a developer by profession,India,4644.0,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
7975,Testing/Apps/mobile,I am a developer by profession,Lithuania,38388.0,"Employed, full-time"
